0000000111110100,0000000000000000
1111111111011111,0000000001010010
1111111111111001,1111111111111010
1111111111100111,0000000000001111
1111111111110100,0000000000010110
0000000000000111,0000000000010001
1111111111110100,0000000000001000
1111111111110110,0000000000100000
1111111111010000,1111111111110100
0000000000001001,0000000000001011
1111111111110110,0000000000010110
0000000000001101,1111111111111110
0000000000000100,1111111111111000
0000000000100010,0000000000010101
1111111111111011,1111111111101011
1111111111101100,0000000000011100
0000000000011010,0000000000000000
1111111111011001,0000000000000100
1111111111100110,1111111111110001
0000000000100000,0000000000000001
1111111111111010,0000000000010111
0000000000000111,1111111111100110
1111111111011000,1111111111100011
0000000000000111,1111111111001001
0000000000011010,0000000000000110
1111111111100101,1111111111100100
1111111111101110,0000000000010001
0000000000011001,0000000000000001
1111111111011010,0000000000000101
0000000000011101,1111111111100011
1111111111101101,1111111111111100
0000000000110111,1111111111110000
0000000000111100,0000000000000000
0000000000110111,0000000000010000
1111111111101101,0000000000000100
0000000000011101,0000000000011101
1111111111011010,1111111111111011
0000000000011001,1111111111111111
1111111111101110,1111111111101111
1111111111100101,0000000000011100
0000000000011010,1111111111111010
0000000000000111,0000000000110111
1111111111011000,0000000000011101
0000000000000111,0000000000011010
1111111111111010,1111111111101001
0000000000100000,1111111111111111
1111111111100110,0000000000001111
1111111111011001,1111111111111100
0000000000011010,0000000000000000
1111111111101100,1111111111100100
1111111111111011,0000000000010101
0000000000100010,1111111111101011
0000000000000100,0000000000001000
0000000000001101,0000000000000010
1111111111110110,1111111111101010
0000000000001001,1111111111110101
1111111111010000,0000000000001100
1111111111110110,1111111111100000
1111111111110100,1111111111111000
0000000000000111,1111111111101111
1111111111110100,1111111111101010
1111111111100111,1111111111110001
1111111111111001,0000000000000110
1111111111011111,1111111110101110
